img_id	confidence	recall	area
biodiversity_0321	0.808340	0.835448	0.15240097
biodiversity_0324	0.128064	0.000000	0.00049210
biodiversity_0325	0.634674	0.687244	0.01211166
biodiversity_0329	0.712088	0.835118	0.00356293
biodiversity_0332	0.690219	0.766421	0.00981522
biodiversity_0333	0.903093	0.938680	0.07857132
biodiversity_0334	0.894729	0.933473	0.13669968
biodiversity_0343	0.906242	0.927436	0.03911209
biodiversity_0354	0.774877	0.803358	0.06793594
biodiversity_0357	0.663544	0.702518	0.12924576
biodiversity_0358	0.645379	0.670387	0.05673218
biodiversity_0361	0.793814	0.818352	0.22793961
biodiversity_0362	0.789053	0.818702	0.13062286
biodiversity_0363	0.809517	0.829588	0.07859421
biodiversity_0364	0.736246	0.758656	0.16702271
biodiversity_0365	0.679497	0.691145	0.14212418
biodiversity_0368	0.746406	0.767898	0.11360168
biodiversity_0374	0.787192	0.821263	0.03039169
biodiversity_0375	0.839681	0.882445	0.01959991
biodiversity_0376	0.879451	0.918754	0.07554626
biodiversity_0377	0.860843	0.892422	0.08794022
biodiversity_0378	0.796216	0.817201	0.07846451
biodiversity_0379	0.851669	0.884288	0.10308838
biodiversity_0380	0.889725	0.926233	0.15451813
biodiversity_0381	0.886589	0.920118	0.20004272
biodiversity_0388	0.490150	0.526589	0.03235245
biodiversity_0389	0.646307	0.685662	0.00415039
biodiversity_0391	0.886087	0.916975	0.05361938
biodiversity_0396	0.861723	0.928402	0.01928711
biodiversity_0398	0.835507	0.970768	0.01122284
biodiversity_0399	0.885059	0.919690	0.03932953
biodiversity_0401	0.800677	0.835533	0.05376434
biodiversity_0404	0.762393	0.803630	0.08050156
biodiversity_0405	0.530821	0.563468	0.05394363
biodiversity_0406	0.690659	0.733766	0.03765488
biodiversity_0411	0.845511	0.859156	0.04547501
biodiversity_0412	0.852534	0.861085	0.04547501
biodiversity_0415	0.685315	0.711101	0.07717896
biodiversity_0422	0.727463	0.768616	0.01050186
biodiversity_0424	0.920879	0.946703	0.17285156
biodiversity_0426	0.841379	0.873352	0.09753036
biodiversity_0427	0.888388	0.922188	0.08020401
biodiversity_0428	0.887217	0.913083	0.08295059
biodiversity_0429	0.864612	0.900453	0.07836533
biodiversity_0430	0.806713	0.862121	0.02528763
biodiversity_0433	0.002474	0.000000	0.00368881
biodiversity_0436	0.569831	0.636029	0.00415039
biodiversity_0437	0.814337	0.864587	0.04450989
biodiversity_0438	0.845296	0.885432	0.07711411
biodiversity_0439	0.883902	0.925822	0.03260422
biodiversity_0443	0.865878	0.901269	0.09887314
biodiversity_0451	0.404193	0.472114	0.00588226
biodiversity_0455	0.817567	0.844446	0.14039612
biodiversity_0456	0.843468	0.885901	0.04837799
biodiversity_0457	0.798011	0.870808	0.00693893
biodiversity_0462	0.771027	0.793382	0.06236649
biodiversity_0463	0.712675	0.776901	0.01208878
biodiversity_0469	0.430963	0.509485	0.00140762
biodiversity_0470	0.936087	0.957622	0.13547516
biodiversity_0472	0.564828	0.810427	0.00080490
biodiversity_0475	0.747368	0.800145	0.01051712
biodiversity_0481	0.445673	0.517172	0.01699448
biodiversity_0482	0.577506	0.646914	0.01699448
biodiversity_0485	0.686984	0.728257	0.04298401
biodiversity_0486	0.753657	0.783471	0.02769470
biodiversity_0492	0.769109	0.797984	0.08214188
biodiversity_0493	0.895609	0.925111	0.11929703
biodiversity_0495	0.011431	0.000000	0.00182343
biodiversity_0500	0.028867	0.000000	0.01202011
biodiversity_0501	0.797818	0.827299	0.09513474
biodiversity_0502	0.812012	0.837481	0.08996964
biodiversity_0503	0.908503	0.939083	0.03162384
biodiversity_0508	0.836823	0.876156	0.16085052
biodiversity_0509	0.751688	0.802418	0.25340271
biodiversity_0515	0.182955	0.206275	0.00486374
biodiversity_0516	0.485056	0.590588	0.00486374
biodiversity_0518	0.890940	0.941087	0.03017426
biodiversity_0522	0.812245	0.838222	0.00429153
biodiversity_0523	0.876941	0.900542	0.04786682
biodiversity_0524	0.869801	0.895999	0.04357529
biodiversity_0532	0.820020	0.856313	0.04399109
biodiversity_0536	0.802360	0.833792	0.13449478
biodiversity_0537	0.882442	0.918706	0.19295502
biodiversity_0540	0.860091	0.891134	0.10347366
biodiversity_0542	0.809454	0.821680	0.02984238
biodiversity_0547	0.396937	0.399202	0.02965164
biodiversity_0548	0.591189	0.612572	0.07209396
biodiversity_0549	0.744286	0.772425	0.04244232
biodiversity_0554	0.008653	0.000000	0.00392532
biodiversity_0555	0.803243	0.844891	0.24802780
biodiversity_0562	0.415607	0.463543	0.01449203
biodiversity_0564	0.847587	0.921653	0.02556229
biodiversity_0565	0.907103	0.955437	0.02354050
biodiversity_0566	0.732014	0.831547	0.00249100
biodiversity_0569	0.845453	0.915685	0.00809860
biodiversity_0571	0.866070	0.888657	0.12964249
biodiversity_0579	0.835003	0.859964	0.11667252
biodiversity_0580	0.840789	0.877710	0.19549179
biodiversity_0581	0.835366	0.867081	0.14125824
biodiversity_0583	0.840100	0.867583	0.13133621
biodiversity_0584	0.900312	0.927344	0.08747101
biodiversity_0587	0.764298	0.807614	0.04659653
biodiversity_0594	0.453982	0.476850	0.01763153
biodiversity_0595	0.763963	0.797975	0.05122757
biodiversity_0600	0.555380	0.605471	0.01784897
biodiversity_0601	0.252616	0.268222	0.00392532
biodiversity_0602	0.742490	0.777292	0.12831116
biodiversity_0604	0.649626	0.674127	0.13278198
biodiversity_0605	0.735138	0.784076	0.02395630
biodiversity_0608	0.561807	0.735294	0.00129700
biodiversity_0609	0.848171	0.889628	0.05388260
biodiversity_0610	0.792047	0.837214	0.05258560
biodiversity_0611	0.835062	0.895487	0.00642395
biodiversity_0612	0.871512	0.923834	0.00891495
biodiversity_0613	0.728820	0.825421	0.00249100
